round,k,threshold,f1,precision,recall
14,1,0.002002002002002002,0.6666666666666666,0.5,1.0
14,3,0.13813813813813813,0.6666666666666666,0.5,1.0
14,5,0.1931931931931932,0.6666666666666666,0.5,1.0
14,10,0.2752752752752753,0.6666666666666666,0.5,1.0
15,1,0.001001001001001001,0.6671228190215532,0.5070202808112324,0.975
15,3,0.15715715715715717,0.6666666666666666,0.5,1.0
15,5,0.17717717717717718,0.6666666666666666,0.5,1.0
15,10,0.2502502502502503,0.6666666666666666,0.5,1.0
16,1,0.02002002002002002,0.6666666666666666,0.5,1.0
16,3,0.12112112112112113,0.6666666666666666,0.5,1.0
16,5,0.1961961961961962,0.6666666666666666,0.5,1.0
16,10,0.2552552552552553,0.6666666666666666,0.5,1.0
17,1,0.02002002002002002,0.6666666666666666,0.5,1.0
17,3,0.11811811811811812,0.6666666666666666,0.5,1.0
17,5,0.17717717717717718,0.6666666666666666,0.5,1.0
17,10,0.23123123123123124,0.6666666666666666,0.5,1.0
18,1,0.002002002002002002,0.6666666666666666,0.5,1.0
18,3,0.11811811811811812,0.6666666666666666,0.5,1.0
18,5,0.17317317317317318,0.6666666666666666,0.5,1.0
18,10,0.23623623623623624,0.6666666666666666,0.5,1.0
19,1,0.02002002002002002,0.6666666666666666,0.5,1.0
19,3,0.13813813813813813,0.6666666666666666,0.5,1.0
19,5,0.17717717717717718,0.6666666666666666,0.5,1.0
19,10,0.23623623623623624,0.6666666666666666,0.5,1.0
20,1,0.02002002002002002,0.6666666666666666,0.5,1.0
20,3,0.11811811811811812,0.6666666666666666,0.5,1.0
20,5,0.17717717717717718,0.6666666666666666,0.5,1.0
20,10,0.23623623623623624,0.6666666666666666,0.5,1.0
21,1,0.002002002002002002,0.6666666666666666,0.5,1.0
21,3,0.13813813813813813,0.6666666666666666,0.5,1.0
21,5,0.17317317317317318,0.6666666666666666,0.5,1.0
21,10,0.23123123123123124,0.6666666666666666,0.5,1.0
22,1,0.002002002002002002,0.6666666666666666,0.5,1.0
22,3,0.13813813813813813,0.6666666666666666,0.5,1.0
22,5,0.17717717717717718,0.6666666666666666,0.5,1.0
22,10,0.23123123123123124,0.6666666666666666,0.5,1.0
23,1,0.02002002002002002,0.6666666666666666,0.5,1.0
23,3,0.11811811811811812,0.6666666666666666,0.5,1.0
23,5,0.1931931931931932,0.6666666666666666,0.5,1.0
23,10,0.23123123123123124,0.6666666666666666,0.5,1.0
24,1,0.002002002002002002,0.6666666666666666,0.5,1.0
24,3,0.11811811811811812,0.6666666666666666,0.5,1.0
24,5,0.17717717717717718,0.6666666666666666,0.5,1.0
24,10,0.2752752752752753,0.6666666666666666,0.5,1.0
25,1,0.02002002002002002,0.6666666666666666,0.5,1.0
25,3,0.13813813813813813,0.6666666666666666,0.5,1.0
25,5,0.17717717717717718,0.6666666666666666,0.5,1.0
25,10,0.23123123123123124,0.6666666666666666,0.5,1.0
26,1,0.002002002002002002,0.6666666666666666,0.5,1.0
26,3,0.13813813813813813,0.6666666666666666,0.5,1.0
26,5,0.17717717717717718,0.6666666666666666,0.5,1.0
26,10,0.21621621621621623,0.6666666666666666,0.5,1.0
27,1,0.002002002002002002,0.6666666666666666,0.5,1.0
27,3,0.13813813813813813,0.6666666666666666,0.5,1.0
27,5,0.17717717717717718,0.6666666666666666,0.5,1.0
27,10,0.23123123123123124,0.6666666666666666,0.5,1.0
28,1,0.002002002002002002,0.6666666666666666,0.5,1.0
28,3,0.13813813813813813,0.6666666666666666,0.5,1.0
28,5,0.17717717717717718,0.6666666666666666,0.5,1.0
28,10,0.23623623623623624,0.6666666666666666,0.5,1.0
29,1,0.002002002002002002,0.6666666666666666,0.5,1.0
29,3,0.13813813813813813,0.6666666666666666,0.5,1.0
29,5,0.17717717717717718,0.6666666666666666,0.5,1.0
29,10,0.2122122122122122,0.6666666666666666,0.5,1.0
30,1,0.002002002002002002,0.6666666666666666,0.5,1.0
30,3,0.13813813813813813,0.6666666666666666,0.5,1.0
30,5,0.15715715715715717,0.6666666666666666,0.5,1.0
30,10,0.23123123123123124,0.6666666666666666,0.5,1.0
31,1,0.002002002002002002,0.6666666666666666,0.5,1.0
31,3,0.13813813813813813,0.6666666666666666,0.5,1.0
31,5,0.15715715715715717,0.6666666666666666,0.5,1.0
31,10,0.21621621621621623,0.6666666666666666,0.5,1.0
32,1,0.002002002002002002,0.6666666666666666,0.5,1.0
32,3,0.13813813813813813,0.6666666666666666,0.5,1.0
32,5,0.15715715715715717,0.6666666666666666,0.5,1.0
32,10,0.2122122122122122,0.6666666666666666,0.5,1.0
33,1,0.002002002002002002,0.6666666666666666,0.5,1.0
33,3,0.13813813813813813,0.6666666666666666,0.5,1.0
33,5,0.15715715715715717,0.6666666666666666,0.5,1.0
33,10,0.2122122122122122,0.6666666666666666,0.5,1.0
34,1,0.002002002002002002,0.6666666666666666,0.5,1.0
34,3,0.13813813813813813,0.6666666666666666,0.5,1.0
34,5,0.15715715715715717,0.6666666666666666,0.5,1.0
34,10,0.21621621621621623,0.6666666666666666,0.5,1.0
35,1,0.002002002002002002,0.6666666666666666,0.5,1.0
35,3,0.13813813813813813,0.6666666666666666,0.5,1.0
35,5,0.15715715715715717,0.6666666666666666,0.5,1.0
